Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
ERIC LARUE,2024,Michael Shannon,/movie/eric-larue/,Eric Larue,2025,Michael Shannon,0.64,119,"Janice (Judy Greer) is struggling; she moves through life as if in a haze, unable to let go of her anger and frustration. While her husband (Alexander Skarsgård) has found refuge at a new church, Janice finds it hard to seek solace in her faith despite her pastor’s pleas to heal her wounds by meeting with the mothers of her son’s victims...",Brett Neveu
MISERICORDIA,2024,Alain Guiraudie,/movie/misericordia/,Misericordia,2025,Alain Guiraudie,0.83,102,"Jérémie returns to his hometown for the funeral of his former boss, the village baker. He decides to stay for a few days with Martine, the man’s widow. A mysterious disappearance, a threatening neighbor and a priest with strange intentions make Jérémie’s short stay in the village take an unexpected turn.",Alain Guiraudie
GRAND TOUR,2024,Miguel Gomes,/movie/grand-tour/,Grand Tour,2025,Miguel Gomes,0.8,128,"Rangoon, Burma, 1917. Edward, a civil servant for the British Empire, runs away from his fiancée Molly the day she arrives to get married. During his travels, however, panic gives way to melancholy. Contemplating the emptiness of his existence, the cowardly Edward wonders what has become of Molly.  Determined to get married and amused by...","Telmo Churro, Maureen Fazendeiro, Miguel Gomes, Mariana Ricardo, Babu Targino"
THE MISSING PICTURE,2013,Rithy Panh,/movie/the-missing-picture/,The Missing Picture,2013,Rithy Panh,0.87,92,"Rithy Panh uses clay figures, archival footage, and narration to revisit the atrocities committed by Cambodia's Khmer Rouge between 1975 and 1979.","Rithy Panh, Christophe Bataille"
BOWLING FOR COLUMBINE,2002,Michael Moore,/movie/bowling-for-columbine/,Bowling for Columbine,2002,Michael Moore,0.72,120,"Famed documentarian Michael Moore returns with his first feature film in five years, as he tackles the issue of America's unique obsession with firearms.",Michael Moore
TO A LAND UNKNOWN,2024,Mahdi Fleifel,/movie/to-a-land-unknown/,To a Land Unknown,,Mahdi Fleifel,0.86,105,A Palestinian refugee living on the fringes of society in Athens gets ripped off by a smuggler and sets out to seek revenge.,"Fyzal Boulifa, Mahdi Fleifel, Jason McColgan"
DOC 10: THE INFILTRATORS,2019,"Cristina Ibarra, Alex Rivera",/movie/the-infiltrators/,The Infiltrators,2020,"Cristina Ibarra, Alex Rivera",0.74,95,"The Infiltrators is a docu-thriller that tells the true story of young immigrants who are detained by Border Patrol and thrown into a shadowy for-profit detention center—on purpose. Marco and Viri are members of the National Immigrant Youth Alliance, a group of radical DREAMers who are on a mission to stop unjust deportations. And the be...","Cristina Ibarra, Alex Rivera, Aldo Velasco"
DOC10: 2000 METERS TO ANDRIIVKA,2025,Mstyslav Chernov,/movie/2000-meters-to-andriivka/,2000 Meters to Andriivka,,Mstyslav Chernov,0.85,106,"Amid a failing counteroffensive, a journalist follows a Ukrainian platoon on their mission to traverse one mile of heavily fortified forest and liberate a strategic village from Russian occupation. But the farther they advance through their destroyed homeland, the more they realize that this war may never end.",
KILLER OF SHEEP,1978,Charles Burnett,/movie/killer-of-sheep/,Killer of Sheep,2007,Charles Burnett,0.96,80,"Killer of Sheep examines the black Los Angeles ghetto of Watts in the mid-1970s through the eyes of Stan, a sensitive dreamer who is growing detached and numb from the psychic toll of working at a slaughterhouse. The film offers no solutions; it merely presents life -- sometimes hauntingly bleak, sometimes filled with transcendent joy an...",Charles Burnett
LOVE HOTEL,1985,Shinji Somai,/movie/love-hotel/,Love Hotel,1986,Shinji Sômai,,88,"A tale of two broken souls. A call-girl named Yumi, “night-blooming flower,” and Tetsuro, a married man with a debt to the yakuza, have a violent rendezvous in a cheap love hotel. Years later, haunted by the memory of that night, they reconnect and begin a strange love affair. Determined to finish what they started, they return to the sc...",Takashi Ishii
